ID|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|PROVINCIA|MUNICIPIO|POBLACION|LATITUD_WGS84_4326|LONGITUD_WGS84_4326
24-E1-00305||CALLE SAN JUAN BOSCO|15||24190|24089|LEON|LEÓN|ARMUNIA||
24-E1-00306||AVDA AMERICA|36||24400|24115|LEON|PONFERRADA|PONFERRADA||
24-E1-00308||CALLE NICOLAS DE BRUJAS|27||24400|24115|LEON|PONFERRADA|PONFERRADA||
24-E1-00312||CALLE MARIA INMACULADA|42||24190|24089|LEON|LEÓN|ARMUNIA||
24-E1-00315||CALLE GENERAL VIVES|31|||24115|LEON|PONFERRADA|PONFERRADA||
24-E1-00316||CALLE BRAÑINA (LA)|S-N||24100|24202|LEON|VILLABLINO|VILLABLINO||
24-E1-00325||CALLE ANTONIO VAZQUEZ FERNANDEZ|3||24010|24142|LEON|SAN ANDRÉS DEL RABANEDO|TROBAJO DEL CAMINO||
24-E1-00327||AVDA LIBERTAD (LA)|2||24400|24115|LEON|PONFERRADA|PONFERRADA||
24-E1-00332||CALLE REAL|55||24012|24222|LEON|VILLAQUILAMBRE|VILLAOBISPO DE LAS REGUERAS||
24-E1-00336||CALLE CTRA. DE SANTANDER|43|||24222|LEON|VILLAQUILAMBRE|VILLAOBISPO DE LAS REGUERAS||
34-E1-00003||PLAZA GENERALISIMO|14||34120|34047|PALENCIA|CARRIÓN DE LOS CONDES|CARRION DE LOS CONDES||
34-E1-00006||CALLE MAYOR PRINCIPAL|31||34001|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00010||CALLE CORREDERA|4||34191|34010|PALENCIA|AMPUDIA|AMPUDIA||
34-E1-00012||PASEO OTERO (DEL)|65||34003|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00024||AVDA INGENIERO RIVERA|21||34440|34074|PALENCIA|FRÓMISTA|FROMISTA||
34-E1-00025||CALLE MAYOR PRINCIPAL|40||34001|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00026||CALLE HONDURAS|1||34003|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00028||CALLE MAYOR PRINCIPAL|66||34001|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00030||CALLE ROSALES (LOS)|1||34129|34243|PALENCIA|VILLOLDO|VILLOLDO||
34-E1-00035||PLAZA MAYOR|3||34840|34056|PALENCIA|CERVERA DE PISUERGA|CERVERA DE PISUERGA||
34-E1-00041||CALLE RICARDO CORTES|5||34100|34157|PALENCIA|SALDAÑA|SALDAÑA||
34-E1-00042||CALLE MAYOR PRINCIPAL|26||34001|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00044||CALLE TRASLAIGLESIA|6||34887|34049|PALENCIA|CASTREJÓN DE LA PEÑA|CASTREJON DE LA PEÑA||
34-E1-00045||CALLE ANSELMO POLANCO|10||34115|34037|PALENCIA|BUENAVISTA DE VALDAVIA|BUENAVISTA DE VALDAVIA||
34-E1-00047||PLAZA CAUDILLO|3||34170|34237|PALENCIA|VILLAUMBRALES|CASCON DE LA NAVA||
34-E1-00048||CALLE ALAMOS (LOS)|16||34003|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00053||CALLE MARIA DE MOLINA|12||34002|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00055||CALLE FERNANDO MONEDERO|S-N||34450|34017|PALENCIA|ASTUDILLO|ASTUDILLO||
